game_id;white;black;date;game;result;opening;eco_code;white_brilliant_moves;black_brilliant_moves;white_critical_moves;black_critical_moves;white_best_moves;black_best_moves;white_excellent_moves;black_excellent_moves;white_ok_moves;black_ok_moves;white_inaccuracies;black_inaccuracies;white_mistakes;black_mistakes;white_blunders;black_blunders;white_theoretical_moves;black_theoretical_moves;white_move_accuracy;black_move_accuracy;termination_by;white_illegal_moves;black_illegal_moves;white_illegal_streak_max;black_illegal_streak_max;white_random_fallbacks;black_random_fallbacks
gemini_vs_cohere_20260129053029;gemma-3-27b-it;command-a-03-2025;29.1.2026;20;1/2-1/2;Petrov's Defence;C42;0;0;0;0;0;0;0;1;1;2;2;0;0;1;6;5;3;2;53,6;56,4;repetition;11;11;3;4;0;1
gemini_vs_groq_20260129054339;gemma-3-27b-it;llama-3.3-70b-versatile;29.1.2026;21;1/2-1/2;Petrov's Defence;C42;0;0;0;0;1;3;2;2;1;3;10;7;2;7;18;13;4;3;46,6;48,2;repetition;36;33;3;2;0;0
gemini_vs_reka_20260129062702;gemma-3-27b-it;reka-core-20240501;29.1.2026;22;1/2-1/2;King's Knight Opening;C40;0;0;0;0;0;0;1;3;2;0;1;1;1;0;5;5;2;2;55,5;54,7;repetition;11;7;3;2;0;0
gemini_vs_youchat_20260129073731;gemma-3-27b-it;youchat;29.1.2026;23;1/2-1/2;King's Knight Opening;C40;0;0;0;0;9;7;8;10;4;12;17;5;1;3;4;6;2;1;72;72,5;repetition;40;18;7;2;0;0
cohere_vs_gemini_20260129082458;command-a-03-2025;gemma-3-27b-it;29.1.2026;24;1/2-1/2;Petrov's Defence;C42;0;0;0;0;1;2;6;4;1;3;2;1;2;1;2;2;2;2;73,9;74,8;repetition;14;12;2;2;0;0
cohere_vs_groq_20260129084246;command-a-03-2025;llama-3.3-70b-versatile;29.1.2026;25;1/2-1/2;Petrov's Defence;C42;0;0;0;0;1;1;3;2;3;3;6;4;4;7;7;6;2;2;57,7;55,8;repetition;24;15;3;2;0;0
cohere_vs_reka_20260129090356;command-a-03-2025;reka-core-20240501;29.1.2026;26;1/2-1/2;King's Knight Opening;C40;0;0;0;0;2;1;2;4;5;2;3;2;0;0;4;6;2;2;65,2;64,4;repetition;15;14;3;3;0;0
cohere_vs_youchat_20260129091927;command-a-03-2025;youchat;29.1.2026;27;0-1;King's Knight Opening;C40;0;0;0;0;0;1;0;0;0;1;1;1;4;4;5;4;2;1;45,3;59;checkmate;11;4;4;1;0;0
groq_vs_gemini_20260129092932;llama-3.3-70b-versatile;gemma-3-27b-it;29.1.2026;28;1/2-1/2;Petrov's Defence Modern Attack;C43;0;0;0;0;1;0;0;1;2;1;0;1;3;4;2;3;3;1;66,5;58;repetition;5;9;1;3;0;0
groq_vs_cohere_20260129093920;llama-3.3-70b-versatile;command-a-03-2025;29.1.2026;29;1/2-1/2;Petrov's Defence Modern Attack;C43;0;0;0;0;1;0;1;1;2;1;3;3;6;8;11;13;3;1;44,9;39,8;repetition;17;41;1;12;0;5
groq_vs_reka_20260129100437;llama-3.3-70b-versatile;reka-core-20240501;29.1.2026;30;1/2-1/2;King's Knight Opening;C40;0;0;0;0;8;7;20;12;9;7;14;16;10;18;29;27;2;2;56,3;56,3;repetition;63;86;3;4;0;1
groq_vs_youchat_20260129140511;llama-3.3-70b-versatile;youchat;29.1.2026;31;1/2-1/2;Vienna Game Falkbeer variation;C26;0;0;0;0;5;5;10;8;9;16;3;3;6;5;27;23;2;2;54,7;54,1;repetition;14;28;3;9;0;0
reka_vs_gemini_20260129145356;reka-core-20240501;gemma-3-27b-it;29.1.2026;32;1/2-1/2;English Opening;A10;0;0;0;0;0;0;0;1;0;0;3;3;4;4;0;0;2;1;66,3;64,8;repetition;4;7;1;3;0;0
reka_vs_cohere_20260129151915;reka-core-20240501;command-a-03-2025;29.1.2026;33;1-0;Bongcloud;;0;1;0;0;1;2;1;0;2;0;1;2;3;3;3;3;2;1;57,5;53;checkmate;9;16;2;6;0;2
reka_vs_groq_20260129153043;reka-core-20240501;llama-3.3-70b-versatile;29.1.2026;34;1/2-1/2;English Opening;A10;0;0;0;0;2;2;1;2;1;4;2;1;7;3;4;6;2;1;51,9;53,9;repetition;16;7;7;2;0;0
reka_vs_youchat_20260129154542;reka-core-20240501;youchat;29.1.2026;35;1/2-1/2;Bongcloud;;0;0;0;0;3;3;2;8;3;3;3;5;6;1;16;16;2;1;50,7;50;repetition;29;27;4;3;0;0
youchat_vs_gemini_20260129162139;youchat;gemma-3-27b-it;29.1.2026;36;1/2-1/2;Petrov's Defence;C42;1;0;0;0;4;1;1;4;1;6;4;1;4;2;1;2;2;2;75,1;73,4;repetition;12;15;2;3;0;0
youchat_vs_cohere_20260129200102;youchat;command-a-03-2025;29.1.2026;37;1/2-1/2;Petrov's Defence;C42;0;0;0;0;7;8;6;8;20;11;2;5;2;4;4;5;2;2;76,4;74,4;repetition;26;39;2;6;0;1
youchat_vs_groq_20260129204020;youchat;llama-3.3-70b-versatile;29.1.2026;38;1/2-1/2;Petrov's Defence;C42;0;0;0;0;14;13;25;7;10;9;5;22;12;14;20;19;2;2;66,4;65,9;repetition;60;34;7;3;0;0
youchat_vs_reka_20260129215146;youchat;reka-core-20240501;29.1.2026;39;1/2-1/2;King's Pawn Game;C44;0;0;0;0;3;8;1;7;3;2;3;1;6;2;8;4;1;1;73,7;76,3;repetition;23;23;4;9;2;0
