id,resort,country,continent,month,month_sin,month_cos,is_winter_month,is_shoulder_month,snow,snow_missing,snow_imputed,snow_lag_1,snow_lag_2,snow_3m_mean,snow_3m_std,snow_6m_mean,highest_point,lowest_point,altitude_range,total_slopes,share_beginner,share_intermediate,share_difficult,total_lifts,lift_capacity,share_surface_lifts,share_chair_lifts,share_gondola_lifts,price,log_price,log_lift_capacity,locality_score,demand_score,attendance
237,Mont Tremblant,Canada,North America,2022-01-01,-0.07880315299594536,0.9968901960987968,1,0,100.0,0,100.0,,,100.0,0.0,100.0,875.0,230.0,645.0,78.0,0.20512820512820512,0.32051282051282054,0.47435897435897434,14.0,24700.0,0.21428571428571427,0.5714285714285714,0.21428571428571427,60.0,4.110873864173311,10.114599007626499,1.0,121.7454637653904,high
237,Mont Tremblant,Canada,North America,2022-02-01,-0.06254574045753,0.9980420984861407,1,0,100.0,0,100.0,100.0,,100.0,0.0,100.0,875.0,230.0,645.0,78.0,0.20512820512820512,0.32051282051282054,0.47435897435897434,14.0,24700.0,0.21428571428571427,0.5714285714285714,0.21428571428571427,60.0,4.110873864173311,10.114599007626499,1.0,121.7454637653904,high
237,Mont Tremblant,Canada,North America,2022-03-01,0.032773789934219456,0.9994627950520958,1,0,100.0,0,100.0,100.0,100.0,100.0,0.0,100.0,875.0,230.0,645.0,78.0,0.20512820512820512,0.32051282051282054,0.47435897435897434,14.0,24700.0,0.21428571428571427,0.5714285714285714,0.21428571428571427,60.0,4.110873864173311,10.114599007626499,1.0,121.7454637653904,high
237,Mont Tremblant,Canada,North America,2022-04-01,0.04905831062447447,0.998795916170402,0,1,19.29,0,19.29,100.0,100.0,73.09666666666666,46.597940226294696,79.8225,875.0,230.0,645.0,78.0,0.20512820512820512,0.32051282051282054,0.47435897435897434,14.0,24700.0,0.21428571428571427,0.5714285714285714,0.21428571428571427,60.0,4.110873864173311,10.114599007626499,1.0,50.92104709872374,medium
237,Mont Tremblant,Canada,North America,2022-05-01,-0.11633697130920091,0.993209801153111,0,0,,1,19.095,19.29,100.0,46.12833333333333,46.654333757254896,67.67699999999999,875.0,230.0,645.0,78.0,0.20512820512820512,0.32051282051282054,0.47435897435897434,14.0,24700.0,0.21428571428571427,0.5714285714285714,0.21428571428571427,60.0,4.110873864173311,10.114599007626499,0.65,26.104214780837097,medium
237,Mont Tremblant,Canada,North America,2022-06-01,-0.10013455542064037,0.9949739045878091,0,0,,1,16.535,19.095,19.29,18.30666666666667,1.5374031134784674,59.153333333333336,875.0,230.0,645.0,78.0,0.20512820512820512,0.32051282051282054,0.47435897435897434,14.0,24700.0,0.21428571428571427,0.5714285714285714,0.21428571428571427,60.0,4.110873864173311,10.114599007626499,0.65,18.3055472808371,medium
237,Mont Tremblant,Canada,North America,2022-07-01,-0.01598099091434407,0.9998722958105178,0,0,,1,1.97,16.535,19.095,12.533333333333333,9.237229472809108,42.815,875.0,230.0,645.0,78.0,0.20512820512820512,0.32051282051282054,0.47435897435897434,14.0,24700.0,0.21428571428571427,0.5714285714285714,0.21428571428571427,60.0,4.110873864173311,10.114599007626499,0.65,10.723134780837098,low
237,Mont Tremblant,Canada,North America,2022-08-01,0.0003166790417742279,0.999999949857191,0,0,,1,0.79,1.97,16.535,6.4316666666666675,8.769612781265387,26.28,875.0,230.0,645.0,78.0,0.20512820512820512,0.32051282051282054,0.47435897435897434,14.0,24700.0,0.21428571428571427,0.5714285714285714,0.21428571428571427,60.0,4.110873864173311,10.114599007626499,0.65,7.838380614170433,low
237,Mont Tremblant,Canada,North America,2022-09-01,0.016614264878330495,0.9998619735756294,0,0,,1,3.935,0.79,1.97,2.231666666666667,1.588744263037073,10.269166666666665,875.0,230.0,645.0,78.0,0.20512820512820512,0.32051282051282054,0.47435897435897434,14.0,24700.0,0.21428571428571427,0.5714285714285714,0.21428571428571427,60.0,4.110873864173311,10.114599007626499,0.65,6.966513947503766,low
237,Mont Tremblant,Canada,North America,2022-10-01,-0.14851256410687452,0.9889105208775977,0,0,0.39,0,0.39,3.935,0.79,1.705,1.941565090333022,7.119166666666666,875.0,230.0,645.0,78.0,0.20512820512820512,0.32051282051282054,0.47435897435897434,14.0,24700.0,0.21428571428571427,0.5714285714285714,0.21428571428571427,60.0,4.110873864173311,10.114599007626499,1.0,8.268630432057074,low
237,Mont Tremblant,Canada,North America,2022-11-01,-0.1323759428851275,0.9911995811869946,0,1,,1,71.65,0.39,3.935,25.325000000000003,40.157763570697014,15.878333333333336,875.0,230.0,645.0,78.0,0.20512820512820512,0.32051282051282054,0.47435897435897434,14.0,24700.0,0.21428571428571427,0.5714285714285714,0.21428571428571427,60.0,4.110873864173311,10.114599007626499,0.65,36.792955614170445,medium
237,Mont Tremblant,Canada,North America,2022-12-01,-0.04842570534918712,0.9988267873167167,1,0,16.14,0,16.14,71.65,0.39,29.393333333333334,37.43307405668593,15.812500000000002,875.0,230.0,645.0,78.0,0.20512820512820512,0.32051282051282054,0.47435897435897434,14.0,24700.0,0.21428571428571427,0.5714285714285714,0.21428571428571427,60.0,4.110873864173311,10.114599007626499,1.0,30.603267932057076,medium
238,Smugglers' Notch,United States,North America,2022-01-01,-0.07880315299594536,0.9968901960987968,1,0,79.92,0,79.92,,,79.92,0.0,79.92,1112.0,314.0,798.0,78.0,0.16666666666666666,0.5256410256410257,0.3076923076923077,9.0,7053.0,0.3333333333333333,0.6666666666666666,0.0,65.0,4.189654742026425,8.861350110795998,1.0,98.06025163497354,high
238,Smugglers' Notch,United States,North America,2022-02-01,-0.06254574045753,0.9980420984861407,1,0,86.22,0,86.22,79.92,,83.07,4.454772721475252,83.07,1112.0,314.0,798.0,78.0,0.16666666666666666,0.5256410256410257,0.3076923076923077,9.0,7053.0,0.3333333333333333,0.6666666666666666,0.0,65.0,4.189654742026425,8.861350110795998,1.0,103.67512663497354,high
